rank,multiplicity,source_records,distinct_rings,duplicates,literal_repeats,new_labellings,commutative,noncommutative
5,1,32,16,16,6,10,16,0
5,2,74,37,37,12,25,37,0
5,3,164,82,82,26,56,82,0
5,4,268,134,134,35,99,134,0
5,5,418,209,209,32,177,209,0
5,6,672,336,336,46,290,336,0
5,7,954,477,477,50,427,477,0
5,8,1466,733,733,61,672,733,0
5,9,2326,863,1463,596,867,863,0
5,10,2876,1082,1794,706,1088,1082,0
5,11,3666,1383,2283,856,1427,1383,0
5,12,4997,1948,3049,1105,1944,1948,0
5,13,3511,2211,1300,76,1224,2211,0
5,14,3877,2554,1323,68,1255,2554,0
5,15,4486,2936,1550,66,1484,2936,0
5,16,6082,4157,1925,86,1839,4157,0
5,17,4255,4255,0,0,0,4255,0
5,18,5080,5080,0,0,0,5080,0
